City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,sandwip,22.4678,91.4561,21.02,86,0,0.61,Sandwīp,1707254224
161,erdenet,49.0333,104.0833,-22.39,94,54,1.71,Erdenet,1707254224
162,vadso,70.0744,29.7487,-8.91,92,75,6.69,Vadsø,1707254224
163,lazaro cardenas,17.9583,-102.2,28.57,60,7,3.8,Lázaro Cárdenas,1707254224
164,lebu,-37.6167,-73.65,19.76,82,61,2.35,Lebu,1707254205
165,acarau,-2.8856,-40.12,28.14,77,90,7.86,Acaraú,1707254225
166,kuanda,56.3161,116.0806,-22.6,99,99,0.57,Kuanda,1707254225
167,constantia,44.1833,28.65,9.38,57,34,5.37,Constanța,1707254225
168,klaksvik,62.2266,-6.589,-1.49,59,94,9.23,Klaksvík,1707254225
169,dryden,49.7833,-92.7503,1.16,93,100,2.06,Dryden,1707254226
170,kampong dungun,3.2167,101.3167,27.1,93,69,1.31,Kampong Dungun,1707254226
171,rawai,7.7797,98.3253,25.06,78,45,4.15,Rawai,1707254226
172,mata-utu,-13.2816,-176.1745,28.63,80,100,8.37,Mata-Utu,1707254226
173,nishinoomote,30.7333,131.0,13.88,65,100,5.28,Nishinoomote,1707254227
174,hennenman,-27.9765,27.0242,21.54,16,0,2.36,Hennenman,1707254227
175,sinabang,2.4803,96.3801,26.58,81,71,0.5,Sinabang,1707254227
176,wuyang,31.9925,116.2472,-2.87,92,100,1.72,Wuyang,1707254227
177,mitu,1.1983,-70.1733,25.89,90,95,1.06,Mitú,1707254173
178,cortez,37.3489,-108.5859,9.42,36,100,7.72,Cortez,1707254228
179,tofol,5.3248,163.0078,27.84,76,99,7.08,Tofol,1707254228
180,punta arenas,-53.15,-70.9167,13.06,62,0,6.69,Punta Arenas,1707254010
181,pathein,16.7833,94.7333,22.13,66,0,4.13,Pathein,1707254228
182,fale old settlement,-9.3852,-171.2468,28.87,78,100,11.39,Fale old settlement,1707254228
183,bundaberg,-24.85,152.35,26.23,99,26,1.79,Bundaberg,1707254228
184,haiku-pauwela,20.9219,-156.3051,24.54,67,20,9.77,Haiku-Pauwela,1707254229
185,jamestown,42.097,-79.2353,6.12,51,0,2.57,Jamestown,1707254229
186,shenjiamen,29.9576,122.298,4.93,83,100,7.35,Shenjiamen,1707254229
187,labasa,-16.4167,179.3833,27.07,86,100,1.2,Labasa,1707254229
188,kirkland lake,48.1446,-80.0377,1.16,75,100,1.54,Kirkland Lake,1707254230
